Year,CountyName,MedianIncome
2020,Accomack,46178
2020,Albemarle,84643
2020,Alexandria,102227
2020,Alleghany,48513
2020,Amelia,63918
2020,Amherst,57368
2020,Appomattox,55457
2020,Arlington,122604
2020,Augusta,65076
2020,Bath,55481
2020,Bedford,67136
2020,Bland,50365
2020,Botetourt,72719
2020,Bristol,39679
2020,Brunswick,46111
2020,Buchanan,34302
2020,Buckingham,48603
2020,Buena Vista,36634
2020,Campbell,52319
2020,Caroline,67901
2020,Carroll,44518
2020,Charles City,60096
2020,Charlotte,40924
2020,Charlottesville,59598
2020,Chesapeake,81261
2020,Chesterfield,84645
2020,Clarke,86154
2020,Colonial Heights,60522
2020,Covington,41024
2020,Craig,57792
2020,Culpeper,80663
2020,Cumberland,50565
2020,Danville,37147
2020,Dickenson,30116
2020,Dinwiddie,65485
2020,Emporia,30058
2020,Essex,51125
2020,Fairfax,109708
2020,Fairfax,127866
2020,Falls Church,146922
2020,Fauquier,105665
2020,Floyd,51250
2020,Fluvanna,78885
2020,Franklin,56779
2020,Franklin,49811
2020,Frederick,80011
2020,Fredericksburg,69528
2020,Galax,35184
2020,Giles,57279
2020,Gloucester,71649
2020,Goochland,97146
2020,Grayson,41558
2020,Greene,67266
2020,Greensville,49756
2020,Halifax,43714
2020,Hampton,57041
2020,Hanover,91444
2020,Harrisonburg,49117
2020,Henrico,72295
2020,Henry,38511
2020,Highland,51831
2020,Hopewell,43262
2020,Isle of Wight,77870
2020,James City,91675
2020,King George,96711
2020,King William,73284
2020,King and Queen,65385
2020,Lancaster,59736
2020,Lee,35006
2020,Lexington,50714
2020,Loudoun,147111
2020,Louisa,67027
2020,Lunenburg,45884
2020,Lynchburg,49201
2020,Madison,63482
2020,Manassas,86227
2020,Manassas Park,81639
2020,Martinsville,36166
2020,Mathews,74489
2020,Mecklenburg,50224
2020,Middlesex,57060
2020,Montgomery,59126
2020,Nelson,62203
2020,New Kent,97688
2020,Newport News,54511
2020,Norfolk,53026
2020,Northampton,50819
2020,Northumberland,59437
2020,Norton,30518
2020,Nottoway,49983
2020,Orange,74446
2020,Page,51878
2020,Patrick,46941
2020,Petersburg,43029
2020,Pittsylvania,49520
2020,Poquoson,100696
2020,Portsmouth,53213
2020,Powhatan,93833
2020,Prince Edward,44253
2020,Prince George,75123
2020,Prince William,107707
2020,Pulaski,53689
2020,Radford,34576
2020,Rappahannock,82077
2020,Richmond,53298
2020,Richmond,51421
2020,Roanoke,70076
2020,Roanoke,45664
2020,Rockbridge,54133
2020,Rockingham,64496
2020,Russell,38564
2020,Salem,63411
2020,Scott,41540
2020,Shenandoah,56114
2020,Smyth,41088
2020,Southampton,63034
2020,Spotsylvania,90913
2020,Stafford,112247
2020,Staunton,52292
2020,Suffolk,79899
2020,Surry,56525
2020,Sussex,51701
2020,Tazewell,42207
2020,Virginia Beach,78136
2020,Warren,70109
2020,Washington,50928
2020,Waynesboro,43480
2020,Westmoreland,53790
2020,Williamsburg,59288
2020,Winchester,61102
2020,Wise,41285
2020,Wythe,51639
2020,York,93356
