Zip,Population,County,State,WiredCount_2020,Fwcount_2020,AllProviderCount_2020,Wired25_3_2020,Wired100_3_2020,All25_3_2020,All100_3,TestCount,AverageMbps,FastestAverageMbps,%Access to Terrestrial Broadband,Lowest Priced Terrestrial Broadband Plan,WiredCount_2015,Fwcount_2015,AllProviderCount_2015,Wired25_3_2015,Wired100_3_2015,All25_3_2015,All100_3.1
23301,1831.0,Accomack,Virginia,4.0,2.0,11.0,2.0,2.0,5.0,3.0,826.0,19.57,46.58,67%,59.99,3.0,1.0,6.0,2.0,2.0,2.0,2.0
23303,741.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,94%,59.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23306,1088.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,24.0,74.26,93.24,44%,59.99,2.0,2.0,6.0,1.0,1.0,1.0,1.0
23308,2106.0,Accomack,Virginia,3.0,4.0,12.0,1.0,1.0,4.0,2.0,2.0,223.15,223.15,46%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23336,2941.0,Accomack,Virginia,6.0,2.0,13.0,4.0,4.0,7.0,4.0,736.0,52.39,173.35,100%,59.99,4.0,1.0,7.0,2.0,2.0,2.0,2.0
23337,377.0,Accomack,Virginia,3.0,0.0,8.0,1.0,1.0,3.0,1.0,10.0,273.97,426.99,94%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23356,1246.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,1.0,8.0,25.87,84.4,100%,59.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23395,645.0,Accomack,Virginia,3.0,2.0,10.0,2.0,2.0,5.0,2.0,20.0,4.1,5.08,64%,59.99,3.0,1.0,6.0,2.0,2.0,2.0,2.0
23410,2015.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,1616.0,2.75,5.17,63%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23415,1893.0,Accomack,Virginia,5.0,3.0,13.0,3.0,3.0,6.0,3.0,32.0,72.55,373.27,81%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23417,4047.0,Accomack,Virginia,4.0,3.0,12.0,2.0,2.0,6.0,3.0,8200.0,3.8,5.8,49%,59.99,3.0,2.0,7.0,2.0,2.0,2.0,2.0
23418,863.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,3.0,2.0,634.0,7.71,22.95,77%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23420,2376.0,Accomack,Virginia,3.0,3.0,11.0,1.0,1.0,4.0,2.0,28.0,1.75,4.41,40%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
23421,4255.0,Accomack,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,402.0,26.24,74.01,46%,59.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
22901,32532.0,Albemarle,Virginia,4.0,1.0,10.0,3.0,3.0,6.0,4.0,92012.0,75.16,223.38,99%,65.0,4.0,1.0,7.0,3.0,2.0,3.0,2.0
22904,4633.0,Albemarle,Virginia,3.0,1.0,9.0,3.0,2.0,6.0,3.0,9314.0,52.41,91.9,100%,65.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
22911,15971.0,Albemarle,Virginia,3.0,2.0,10.0,3.0,3.0,7.0,4.0,15614.0,44.52,127.79,99%,65.0,3.0,1.0,6.0,3.0,2.0,3.0,2.0
22932,7488.0,Albemarle,Virginia,3.0,3.0,11.0,3.0,3.0,7.0,4.0,3668.0,93.23,332.33,92%,65.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0
22936,4853.0,Albemarle,Virginia,3.0,1.0,9.0,3.0,3.0,6.0,4.0,1230.0,14.35,27.53,100%,65.0,2.0,1.0,5.0,2.0,1.0,2.0,1.0
22940,1119.0,Albemarle,Virginia,2.0,1.0,8.0,2.0,2.0,5.0,3.0,520.0,18.22,39.49,88%,79.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
22942,8113.0,Albemarle,Virginia,4.0,3.0,12.0,2.0,1.0,6.0,2.0,7542.0,45.8,118.31,67%,79.99,4.0,2.0,8.0,2.0,1.0,2.0,1.0
22943,444.0,Albemarle,Virginia,1.0,2.0,8.0,1.0,1.0,4.0,2.0,132.0,41.24,71.0,89%,79.99,0.0,2.0,4.0,0.0,0.0,0.0,0.0
22947,4198.0,Albemarle,Virginia,3.0,2.0,10.0,3.0,3.0,7.0,4.0,894.0,23.22,59.35,86%,65.0,3.0,1.0,6.0,3.0,2.0,3.0,2.0
22959,1578.0,Albemarle,Virginia,2.0,1.0,8.0,2.0,2.0,5.0,3.0,184.0,14.21,36.61,62%,65.0,2.0,2.0,6.0,2.0,1.0,2.0,1.0
24590,8074.0,Albemarle,Virginia,3.0,1.0,10.0,3.0,3.0,6.0,4.0,3898.0,13.77,35.48,62%,65.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0
22301,11162.0,Alexandria,Virginia,4.0,0.0,10.0,2.0,2.0,4.0,2.0,20380.0,137.5,487.36,100%,39.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
22302,16485.0,Alexandria,Virginia,5.0,0.0,11.0,3.0,3.0,5.0,3.0,32052.0,61.01,209.91,100%,39.99,4.0,1.0,7.0,3.0,3.0,3.0,3.0
22304,44300.0,Alexandria,Virginia,4.0,0.0,10.0,2.0,2.0,4.0,2.0,81156.0,133.8,340.19,99%,65.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
22305,15440.0,Alexandria,Virginia,5.0,1.0,12.0,3.0,3.0,6.0,4.0,11468.0,97.86,226.19,100%,39.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
22311,17560.0,Alexandria,Virginia,5.0,1.0,12.0,3.0,3.0,5.0,3.0,37314.0,123.19,319.73,100%,39.99,4.0,1.0,7.0,3.0,3.0,3.0,3.0
22314,29653.0,Alexandria,Virginia,5.0,0.0,11.0,3.0,3.0,5.0,3.0,101894.0,129.62,339.96,99%,39.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
24422,6315.0,Alleghany,Virginia,3.0,0.0,8.0,3.0,3.0,5.0,3.0,11314.0,37.35,61.85,99%,44.95,3.0,1.0,6.0,2.0,2.0,2.0,2.0
24426,14329.0,Alleghany,Virginia,3.0,0.0,9.0,3.0,3.0,5.0,4.0,15336.0,45.67,116.8,95%,44.95,3.0,1.0,6.0,3.0,2.0,3.0,2.0
23002,10439.0,Amelia,Virginia,4.0,2.0,11.0,3.0,3.0,6.0,3.0,11074.0,9.06,21.76,64%,66.95,3.0,1.0,6.0,2.0,0.0,2.0,0.0
23083,1732.0,Amelia,Virginia,2.0,2.0,10.0,1.0,1.0,4.0,1.0,246.0,24.19,59.1,83%,66.95,1.0,1.0,4.0,1.0,0.0,1.0,0.0
24521,10576.0,Amherst,Virginia,4.0,2.0,12.0,2.0,2.0,5.0,3.0,8184.0,7.06,14.9,96%,79.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24572,16395.0,Amherst,Virginia,4.0,2.0,12.0,2.0,2.0,6.0,2.0,22048.0,33.99,93.1,97%,79.99,3.0,2.0,7.0,1.0,1.0,1.0,1.0
24574,3977.0,Amherst,Virginia,4.0,2.0,12.0,2.0,2.0,6.0,2.0,110.0,30.47,65.01,81%,60.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0
24522,9213.0,Appomattox,Virginia,6.0,2.0,14.0,4.0,4.0,8.0,4.0,1460.0,8.41,22.43,84%,65.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0
24593,1963.0,Appomattox,Virginia,3.0,2.0,11.0,2.0,2.0,6.0,2.0,80.0,8.42,20.43,56%,65.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
22201,33476.0,Arlington,Virginia,4.0,1.0,11.0,2.0,2.0,5.0,3.0,153180.0,140.28,361.03,100%,39.99,3.0,1.0,6.0,2.0,2.0,2.0,2.0
22202,22543.0,Arlington,Virginia,5.0,1.0,12.0,3.0,3.0,6.0,4.0,46878.0,227.48,622.69,98%,39.99,4.0,0.0,6.0,2.0,2.0,2.0,2.0
22203,21850.0,Arlington,Virginia,7.0,1.0,14.0,5.0,5.0,8.0,6.0,48400.0,85.48,270.96,100%,39.99,5.0,0.0,7.0,4.0,4.0,4.0,4.0
22204,47233.0,Arlington,Virginia,4.0,1.0,11.0,2.0,2.0,5.0,3.0,103354.0,134.18,332.71,100%,39.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
22205,17087.0,Arlington,Virginia,6.0,1.0,13.0,4.0,4.0,7.0,5.0,52006.0,152.4,393.29,100%,39.99,4.0,0.0,6.0,3.0,3.0,3.0,3.0
22206,19051.0,Arlington,Virginia,4.0,1.0,11.0,2.0,2.0,5.0,3.0,33566.0,54.44,136.64,97%,39.99,3.0,0.0,5.0,2.0,2.0,2.0,2.0
22207,30920.0,Arlington,Virginia,6.0,2.0,14.0,4.0,4.0,7.0,5.0,55538.0,149.98,394.97,100%,39.99,4.0,0.0,6.0,3.0,3.0,3.0,3.0
22209,12314.0,Arlington,Virginia,5.0,1.0,12.0,3.0,3.0,6.0,4.0,5102.0,61.56,151.46,100%,39.99,4.0,1.0,7.0,3.0,3.0,3.0,3.0
22211,648.0,Arlington,Virginia,3.0,1.0,10.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,95%,79.99,2.0,0.0,4.0,1.0,1.0,1.0,1.0
22213,2936.0,Arlington,Virginia,5.0,0.0,11.0,4.0,4.0,6.0,4.0,3144.0,58.93,119.31,100%,39.99,4.0,0.0,6.0,3.0,3.0,3.0,3.0
22214,0.0,Arlington,Virginia,2.0,0.0,8.0,1.0,1.0,3.0,1.0,14.0,16.09,41.59,0%,79.99,2.0,0.0,4.0,1.0,1.0,1.0,1.0
22843,2458.0,Augusta,Virginia,3.0,3.0,11.0,1.0,1.0,4.0,2.0,8.0,16.36,61.3,100%,79.99,2.0,2.0,6.0,0.0,0.0,0.0,0.0
22939,5398.0,Augusta,Virginia,5.0,3.0,13.0,3.0,3.0,6.0,4.0,7130.0,36.64,82.16,99%,44.95,4.0,2.0,8.0,2.0,2.0,2.0,2.0
22952,2029.0,Augusta,Virginia,3.0,4.0,12.0,3.0,3.0,7.0,4.0,3608.0,11.09,25.01,93%,44.95,2.0,2.0,6.0,1.0,1.0,1.0,1.0
24421,3868.0,Augusta,Virginia,5.0,3.0,13.0,3.0,3.0,6.0,4.0,30.0,2.14,4.87,100%,54.0,5.0,1.0,8.0,2.0,1.0,2.0,1.0
24430,2643.0,Augusta,Virginia,3.0,2.0,10.0,1.0,1.0,4.0,2.0,120.0,1.28,2.2,100%,79.99,3.0,1.0,6.0,1.0,1.0,1.0,1.0
24431,2656.0,Augusta,Virginia,5.0,3.0,13.0,3.0,2.0,6.0,3.0,3192.0,14.58,32.59,100%,44.95,5.0,1.0,8.0,1.0,1.0,1.0,1.0
24437,904.0,Augusta,Virginia,3.0,3.0,11.0,1.0,1.0,4.0,2.0,180.0,22.65,48.99,100%,79.99,3.0,1.0,6.0,1.0,1.0,1.0,1.0
24440,2916.0,Augusta,Virginia,3.0,3.0,11.0,1.0,1.0,4.0,2.0,5948.0,16.41,40.63,100%,79.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24459,818.0,Augusta,Virginia,2.0,3.0,10.0,1.0,1.0,4.0,2.0,218.0,69.57,244.59,100%,60.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0
24467,2212.0,Augusta,Virginia,4.0,3.0,12.0,1.0,1.0,4.0,2.0,38.0,2.79,7.87,100%,79.99,3.0,2.0,7.0,1.0,1.0,1.0,1.0
24476,280.0,Augusta,Virginia,1.0,3.0,9.0,1.0,1.0,4.0,2.0,2924.0,21.36,35.35,100%,79.99,1.0,1.0,4.0,1.0,1.0,1.0,1.0
24477,10573.0,Augusta,Virginia,5.0,3.0,13.0,3.0,3.0,6.0,4.0,3228.0,21.53,47.97,97%,44.95,4.0,1.0,7.0,2.0,2.0,2.0,2.0
24479,1537.0,Augusta,Virginia,3.0,3.0,11.0,2.0,2.0,5.0,3.0,58.0,1.59,4.7,100%,59.99,3.0,1.0,6.0,1.0,1.0,1.0,1.0
24482,4872.0,Augusta,Virginia,4.0,3.0,12.0,1.0,1.0,4.0,2.0,978.0,53.65,197.81,100%,79.99,3.0,1.0,6.0,1.0,1.0,1.0,1.0
24486,3490.0,Augusta,Virginia,4.0,3.0,12.0,1.0,1.0,4.0,2.0,118.0,52.56,89.74,100%,79.99,3.0,2.0,7.0,1.0,1.0,1.0,1.0
24445,2673.0,Bath,Virginia,7.0,1.0,13.0,6.0,6.0,9.0,6.0,3952.0,8.71,11.92,84%,54.0,6.0,1.0,9.0,4.0,2.0,4.0,2.0
24460,1530.0,Bath,Virginia,6.0,2.0,13.0,4.0,3.0,7.0,4.0,2524.0,15.79,39.87,74%,54.0,5.0,1.0,8.0,2.0,0.0,2.0,0.0
24487,320.0,Bath,Virginia,3.0,1.0,9.0,2.0,1.0,5.0,2.0,10.0,4.19,9.94,80%,54.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0
24095,4677.0,Bedford,Virginia,3.0,1.0,10.0,1.0,1.0,4.0,1.0,5108.0,44.44,87.14,65%,79.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24104,3469.0,Bedford,Virginia,4.0,2.0,12.0,1.0,1.0,5.0,1.0,514.0,4.55,11.47,55%,75.0,3.0,2.0,7.0,1.0,1.0,1.0,1.0
24121,10501.0,Bedford,Virginia,6.0,2.0,14.0,4.0,3.0,8.0,3.0,30126.0,40.36,113.99,87%,65.0,4.0,1.0,7.0,2.0,2.0,2.0,2.0
24122,1683.0,Bedford,Virginia,3.0,2.0,11.0,1.0,1.0,5.0,1.0,1930.0,23.83,75.48,55%,75.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24174,2539.0,Bedford,Virginia,3.0,2.0,11.0,1.0,1.0,5.0,1.0,7166.0,106.28,288.1,83%,75.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24523,18952.0,Bedford,Virginia,4.0,2.0,12.0,2.0,2.0,6.0,2.0,15668.0,31.43,68.03,80%,65.0,3.0,1.0,6.0,2.0,2.0,2.0,2.0
24526,1593.0,Bedford,Virginia,1.0,2.0,9.0,0.0,0.0,4.0,0.0,14.0,33.51,71.28,20%,75.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
24551,20667.0,Bedford,Virginia,5.0,3.0,14.0,3.0,3.0,8.0,3.0,48348.0,41.81,128.21,95%,59.95,6.0,2.0,10.0,3.0,3.0,3.0,3.0
24556,3053.0,Bedford,Virginia,3.0,1.0,10.0,1.0,1.0,4.0,1.0,500.0,16.87,61.69,68%,65.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24314,1560.0,Bland,Virginia,5.0,2.0,13.0,3.0,2.0,6.0,3.0,18.0,10.67,32.51,99%,45.95,4.0,2.0,8.0,2.0,2.0,3.0,2.0
24315,3774.0,Bland,Virginia,3.0,2.0,11.0,2.0,1.0,5.0,2.0,498.0,9.54,26.93,100%,45.95,3.0,1.0,6.0,1.0,1.0,2.0,1.0
24318,639.0,Bland,Virginia,2.0,1.0,9.0,2.0,1.0,5.0,2.0,0.0,0.0,0.0,100%,45.95,2.0,0.0,4.0,1.0,1.0,1.0,1.0
24366,781.0,Bland,Virginia,5.0,2.0,13.0,3.0,3.0,6.0,4.0,754.0,7.81,17.87,100%,40.0,3.0,2.0,7.0,2.0,2.0,3.0,2.0
24064,4963.0,Botetourt,Virginia,3.0,2.0,11.0,1.0,1.0,4.0,1.0,486.0,32.6,93.61,97%,79.99,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24066,4883.0,Botetourt,Virginia,7.0,1.0,14.0,4.0,2.0,6.0,2.0,1730.0,31.47,94.48,40%,44.95,4.0,1.0,7.0,1.0,0.0,1.0,0.0
24077,932.0,Botetourt,Virginia,3.0,1.0,10.0,2.0,2.0,4.0,2.0,1958.0,39.43,128.29,99%,59.95,3.0,0.0,5.0,2.0,1.0,2.0,1.0
24083,2587.0,Botetourt,Virginia,3.0,1.0,10.0,3.0,2.0,5.0,3.0,5068.0,61.13,181.68,94%,44.95,3.0,0.0,5.0,2.0,2.0,2.0,2.0
24085,2182.0,Botetourt,Virginia,4.0,0.0,9.0,3.0,3.0,5.0,4.0,646.0,17.0,42.11,55%,44.95,4.0,1.0,7.0,3.0,1.0,3.0,1.0
24090,4781.0,Botetourt,Virginia,4.0,1.0,11.0,3.0,3.0,5.0,4.0,5458.0,37.49,107.82,57%,44.95,4.0,1.0,7.0,2.0,2.0,2.0,2.0
24175,8818.0,Botetourt,Virginia,4.0,1.0,11.0,3.0,3.0,5.0,4.0,20478.0,82.39,222.48,94%,44.95,4.0,0.0,6.0,2.0,2.0,2.0,2.0
24201,17116.0,Bristol,Virginia,6.0,0.0,11.0,6.0,6.0,8.0,6.0,36558.0,40.65,79.47,100%,45.95,4.0,0.0,6.0,4.0,3.0,4.0,3.0
23821,1597.0,Brunswick,Virginia,3.0,1.0,9.0,1.0,1.0,3.0,1.0,52.0,8.4,32.87,27%,65.0,3.0,1.0,6.0,1.0,1.0,1.0,1.0
23857,525.0,Brunswick,Virginia,2.0,1.0,8.0,1.0,1.0,3.0,1.0,16.0,1.09,2.86,15%,69.99,1.0,1.0,4.0,0.0,0.0,0.0,0.0
23868,7367.0,Brunswick,Virginia,3.0,1.0,9.0,1.0,1.0,3.0,1.0,782.0,42.66,85.22,45%,65.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0
24239,113.0,Buchanan,Virginia,2.0,1.0,7.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,100%,45.95,1.0,0.0,3.0,1.0,1.0,1.0,1.0
24603,978.0,Buchanan,Virginia,4.0,1.0,9.0,4.0,4.0,6.0,4.0,20.0,61.82,112.77,100%,40.0,3.0,1.0,6.0,3.0,2.0,3.0,2.0
24614,8061.0,Buchanan,Virginia,7.0,1.0,12.0,4.0,4.0,6.0,4.0,6766.0,46.99,109.47,100%,45.95,5.0,1.0,8.0,3.0,2.0,3.0,2.0
24620,2774.0,Buchanan,Virginia,4.0,1.0,9.0,4.0,4.0,6.0,4.0,32.0,35.44,184.73,100%,45.95,2.0,1.0,5.0,2.0,1.0,2.0,1.0
24622,1028.0,Buchanan,Virginia,4.0,2.0,10.0,2.0,2.0,5.0,3.0,164.0,2.04,2.85,92%,45.95,2.0,1.0,5.0,1.0,0.0,1.0,0.0
