County,FIPS,Value (Percent),People (Education: At Least Bachelor's Degree),Rank within US (of 3143 counties)
"United States",00000,35.0,79954302,"N/A"
"Virginia",51000,41.5,2471630,"8 of 52"
"Covington City",51580,9.6,367,"3,106"
"Dickenson County",51051,10.7,1109,"3,076"
"Buchanan County",51027,10.8,1645,"3,073"
"Lunenburg County",51111,11.2,995,"3,042"
"Hopewell City",51670,12.5,1864,"2,953"
"Lee County",51105,12.7,2104,"2,929"
"Buckingham County",51029,13.5,1715,"2,856"
"Greensville County",51081,13.8,1180,"2,821"
"Grayson County",51077,13.9,1634,"2,810"
"Russell County",51167,14.1,2683,"2,795"
"Scott County",51169,14.2,2302,"2,780"
"Emporia City",51595,15.2,552,"2,646"
"Page County",51139,15.2,2648,"2,646"
"Patrick County",51141,15.2,2090,"2,646"
"Bland County",51021,15.4,775,"2,613"
"Pittsylvania County",51143,15.4,6921,"2,613"
"Alleghany County and Clifton Forge City",51005,15.6,1733,"2,573"
"Bath County",51017,15.6,496,"2,573"
"Brunswick County",51025,15.6,1878,"2,573"
"Wise County",51195,15.6,4032,"2,573"
"Henry County",51089,15.7,5803,"2,557"
"Sussex County",51183,15.8,1305,"2,537"
"Charles City County",51036,16.0,842,"2,505"
"Tazewell County",51185,16.4,4740,"2,447"
"Norton City",51720,16.6,431,"2,412"
"Carroll County",51035,16.7,3673,"2,392"
"Amelia County",51007,16.8,1632,"2,375"
"Nottoway County",51135,16.8,1900,"2,375"
"Craig County",51045,17.3,592,"2,308"
"Richmond County",51159,17.4,1189,"2,295"
"Essex County",51057,17.5,1354,"2,276"
"Giles County",51071,18.0,2187,"2,195"
"Smyth County",51173,18.1,3919,"2,177"
"Cumberland County",51049,18.2,1324,"2,158"
"Halifax County with South Boston City",51083,18.2,4464,"2,158"
"Danville City",51590,18.3,5350,"2,138"
"Galax City",51640,18.3,816,"2,138"
"Southampton County",51175,18.6,2473,"2,086"
"Charlotte County",51037,18.7,1511,"2,064"
"King and Queen County",51097,19.5,1016,"1,914"
"Westmoreland County",51193,19.7,2793,"1,884"
"Wythe County",51197,19.7,4088,"1,884"
