ST,COUNTY ID,COUNTY NAME,BROADBAND AVAILABILITY PER FCC,BROADBAND USAGE
VA,51001,Accomack County,0.9048,0.169
VA,51003,Albemarle County,0.9258,0.536
VA,51005,Alleghany County,0.9362,0.706
VA,51007,Amelia County,0.7044,0.154
VA,51009,Amherst County,0.9422,0.374
VA,51011,Appomattox County,0.7673,0.253
VA,51013,Arlington County,0.981,0.776
VA,51015,Augusta County,0.9836,0.271
VA,51017,Bath County,0.7263,0.189
VA,51019,Bedford County,0.8175,0.442
VA,51021,Bland County,0.7895,0.085
VA,51023,Botetourt County,0.8039,0.46
VA,51025,Brunswick County,0.2962,0.045
VA,51027,Buchanan County,1,0.234
VA,51029,Buckingham County,0.3976,0.107
VA,51031,Campbell County,0.7914,0.202
VA,51033,Caroline County,0.6407,0.416
VA,51035,Carroll County,0.9486,0.109
VA,51036,Charles City County,1,0.075
VA,51037,Charlotte County,0.5263,0.094
VA,51041,Chesterfield County,0.9726,0.88
VA,51043,Clarke County,0.9947,0.262
VA,51045,Craig County,0.7472,0.086
VA,51047,Culpeper County,0.9987,0.696
VA,51049,Cumberland County,0.1965,0.05
VA,51051,Dickenson County,0.9777,0.257
VA,51053,Dinwiddie County,0.5476,0.06
VA,51057,Essex County,0.7493,0.414
VA,51059,Fairfax County,0.9848,0.884
VA,51061,Fauquier County,0.9032,0.533
VA,51063,Floyd County,0.7595,0.308
VA,51065,Fluvanna County,0.8218,0.571
VA,51067,Franklin County,0.8811,0.315
VA,51069,Frederick County,0.8305,0.587
VA,51071,Giles County,0.959,0.117
VA,51073,Gloucester County,0.949,0.708
VA,51075,Goochland County,0.669,0.402
VA,51077,Grayson County,0.7522,0.054
VA,51079,Greene County,0.9986,0.54
VA,51081,Greensville County,0.2399,0.377
VA,51083,Halifax County,0.7176,0.265
VA,51085,Hanover County,0.8804,0.634
VA,51087,Henrico County,0.9818,0.726
VA,51089,Henry County,0.9623,0.583
VA,51093,Isle of Wight County,0.8583,0.633
VA,51095,James City County,0.9464,0.764
VA,51097,King and Queen County,0.2235,0.065
VA,51099,King George County,0.9335,0.898
VA,51101,King William County,0.4111,0.274
VA,51103,Lancaster County,1,0.493
VA,51105,Lee County,0.8892,0.237
VA,51107,Loudoun County,0.9956,0.883
VA,51109,Louisa County,0.6802,0.21
VA,51111,Lunenburg County,0.2935,0.124
VA,51113,Madison County,1,0.17
VA,51115,Mathews County,0.9606,0.281
VA,51117,Mecklenburg County,0.5716,0.348
VA,51119,Middlesex County,0.9738,0.527
VA,51121,Montgomery County,0.9935,0.385
VA,51125,Nelson County,0.9488,0.445
VA,51127,New Kent County,0.7664,0.624
VA,51131,Northampton County,0.9408,0.219
VA,51133,Northumberland County,1,0.41
VA,51135,Nottoway County,0.5574,0.098
VA,51137,Orange County,0.9977,0.407
VA,51139,Page County,0.9948,0.253
VA,51141,Patrick County,0.4424,0.075
VA,51143,Pittsylvania County,0.7056,0.123
VA,51145,Powhatan County,0.8348,0.802
VA,51147,Prince Edward County,0.6368,0.21
VA,51149,Prince George County,0.896,0.555
VA,51153,Prince William County,0.973,0.818
VA,51155,Pulaski County,0.9979,0.442
VA,51157,Rappahannock County,0.9178,0.258
VA,51159,Richmond County,0.9871,0.462
VA,51161,Roanoke County,0.9877,0.401
VA,51163,Rockbridge County,0.8509,0.416
VA,51165,Rockingham County,0.989,0.278
VA,51167,Russell County,0.895,0.195
VA,51169,Scott County,0.8258,0.331
VA,51171,Shenandoah County,0.9117,0.265
VA,51173,Smyth County,0.935,0.346
VA,51175,Southampton County,0.4755,0.063
VA,51177,Spotsylvania County,0.9845,0.849
VA,51179,Stafford County,0.988,0.885
VA,51183,Sussex County,0.4528,0.172
VA,51185,Tazewell County,0.9889,0.347
VA,51187,Warren County,0.9191,0.672
VA,51191,Washington County,0.992,0.568
VA,51193,Westmoreland County,0.9393,0.42
VA,51195,Wise County,0.9637,0.372
VA,51197,Wythe County,0.8974,0.207
VA,51199,York County,0.9834,0.78
VA,51510,Alexandria city,0.9832,0.747
VA,51520,Bristol city,1,0.845
VA,51530,Buena Vista city,0.9724,0.408
VA,51540,Charlottesville city,0.9933,0.855
VA,51550,Chesapeake city,0.9819,0.941
VA,51570,Colonial Heights city,0.9872,1
VA,51590,Danville city,0.9911,0.795
VA,51610,Falls Church city,0.986,1
VA,51620,Franklin city,0.9999,0.268
VA,51630,Fredericksburg city,0.9343,0.788
VA,51640,Galax city,0.9998,0.473
VA,51650,Hampton city,0.979,0.813
VA,51660,Harrisonburg city,1,0.795
VA,51670,Hopewell city,0.9831,0.599
VA,51680,Lynchburg city,0.9092,0.675
VA,51683,Manassas city,0.9611,1
VA,51700,Newport News city,0.9834,0.837
VA,51710,Norfolk city,0.9712,0.791
VA,51720,Norton city,0.9663,0.409
VA,51730,Petersburg city,0.9856,0.546
VA,51735,Poquoson city,0.9913,0.776
VA,51740,Portsmouth city,0.9828,0.83
VA,51750,Radford city,0.9995,0.203
VA,51760,Richmond city,0.9476,0.82
VA,51770,Roanoke city,0.9999,0.789
VA,51775,Salem city,1,1
VA,51790,Staunton city,0.9992,0.824
VA,51800,Suffolk city,0.9461,0.816
VA,51810,Virginia Beach city,0.9832,0.843
VA,51820,Waynesboro city,0.9838,1
VA,51840,Winchester city,0.9978,1
