Year,CountyName,MedianIncome
2019,Accomack,46073
2019,Albemarle,79880
2019,Alexandria,100939
2019,Alleghany,47673
2019,Amelia,57946
2019,Amherst,52888
2019,Appomattox,58696
2019,Arlington,120071
2019,Augusta,62711
2019,Bath,49738
2019,Bedford,64199
2019,Bland,48531
2019,Botetourt,71110
2019,Bristol,37500
2019,Brunswick,44434
2019,Buchanan,31956
2019,Buckingham,49025
2019,Buena Vista,32455
2019,Campbell,49664
2019,Caroline,65103
2019,Carroll,44835
2019,Charles City,57198
2019,Charlotte,40573
2019,Charlottesville,59471
2019,Chesapeake,78640
2019,Chesterfield,82599
2019,Clarke,80026
2019,Colonial Heights,54550
2019,Covington,40655
2019,Craig,55708
2019,Culpeper,77935
2019,Cumberland,47469
2019,Danville,37203
2019,Dickenson,29932
2019,Dinwiddie,60346
2019,Emporia,27063
2019,Essex,51954
2019,Fairfax,124831
2019,Fairfax,116979
2019,Falls Church,127610
2019,Fauquier,100783
2019,Floyd,51521
2019,Fluvanna,76873
2019,Franklin,56254
2019,Franklin,40417
2019,Frederick,78002
2019,Fredericksburg,65641
2019,Galax,33575
2019,Giles,54520
2019,Gloucester,70537
2019,Goochland,93994
2019,Grayson,36544
2019,Greene,67398
2019,Greensville,50300
2019,Halifax,42669
2019,Hampton,56287
2019,Hanover,89390
2019,Harrisonburg,46679
2019,Henrico,70307
2019,Henry,37952
2019,Highland,48587
2019,Hopewell,39030
2019,Isle of Wight,73991
2019,James City,87678
2019,King George,94274
2019,King William,66987
2019,King and Queen,63982
2019,Lancaster,53711
2019,Lee,32888
2019,Lexington,42632
2019,Loudoun,142299
2019,Louisa,60975
2019,Lunenburg,44303
2019,Lynchburg,46409
2019,Madison,57895
2019,Manassas,81493
2019,Manassas Park,88046
2019,Martinsville,34371
2019,Mathews,64237
2019,Mecklenburg,43207
2019,Middlesex,57438
2019,Montgomery,57977
2019,Nelson,64313
2019,New Kent,87904
2019,Newport News,53215
2019,Norfolk,51590
2019,Northampton,47227
2019,Northumberland,62632
2019,Norton,29000
2019,Nottoway,45535
2019,Orange,71548
2019,Page,51792
2019,Patrick,43073
2019,Petersburg,38679
2019,Pittsylvania,47690
2019,Poquoson,97118
2019,Portsmouth,52175
2019,Powhatan,89090
2019,Prince Edward,47202
2019,Prince George,71912
2019,Prince William,107132
2019,Pulaski,53866
2019,Radford,36297
2019,Rappahannock,74284
2019,Richmond,49517
2019,Richmond,47250
2019,Roanoke,44230
2019,Roanoke,68948
2019,Rockbridge,54600
2019,Rockingham,61864
2019,Russell,39758
2019,Salem,57165
2019,Scott,39820
2019,Shenandoah,57252
2019,Smyth,40932
2019,Southampton,61348
2019,Spotsylvania,88628
2019,Stafford,111108
2019,Staunton,52611
2019,Suffolk,74884
2019,Surry,57962
2019,Sussex,49487
2019,Tazewell,42099
2019,Virginia Beach,76610
2019,Warren,69116
2019,Washington,48495
2019,Waynesboro,45011
2019,Westmoreland,53853
2019,Williamsburg,57463
2019,Winchester,58818
2019,Wise,38888
2019,Wythe,49364
2019,York,92069
